date,bnb_closing_price_usd
2023-12-02,229.12
2023-12-03,228.05
2023-12-04,233.43
2023-12-05,231.25
2023-12-06,229.49
2023-12-07,232.7
2023-12-08,238.96
2023-12-09,237.77
2023-12-10,239.85
2023-12-11,246.3
2023-12-12,254.44
2023-12-13,252.14
2023-12-14,253.32
2023-12-15,244.88
2023-12-16,244.21
2023-12-17,238.83
2023-12-18,241.66
2023-12-19,252.81
2023-12-20,260.4
2023-12-21,272.16
2023-12-22,271.31
2023-12-23,271.14
2023-12-24,264.72
2023-12-25,266.92
2023-12-26,297.79
2023-12-27,324.41
2023-12-28,322.78
2023-12-29,313.78
2023-12-30,317.11
2023-12-31,311.86
2024-01-01,313.67
2024-01-02,312.41
2024-01-03,315.96
2024-01-04,323.99
2024-01-05,317.73
2024-01-06,307.57
2024-01-07,302.56
2024-01-08,303.97
2024-01-09,301.14
2024-01-10,305.81
2024-01-11,308.34
2024-01-12,296.57
2024-01-13,302.02
2024-01-14,299.23
2024-01-15,317.32
2024-01-16,315.16
2024-01-17,309.09
2024-01-18,312.71
2024-01-19,314.48
2024-01-20,317.12
2024-01-21,318.59
2024-01-22,305.6
2024-01-23,298.59
2024-01-24,293.01
2024-01-25,291.97
2024-01-26,302.04
2024-01-27,305.69
2024-01-28,305.13
2024-01-29,310.69
2024-01-30,307.65
2024-01-31,300.18
2024-02-01,300.13
2024-02-02,301.24
2024-02-03,299.58
2024-02-04,304.59
2024-02-05,300.96
2024-02-06,302.76
2024-02-07,307.36
2024-02-08,319.22
2024-02-09,324.19
2024-02-10,323.29
2024-02-11,320.88
2024-02-12,328.03
2024-02-13,324.96
2024-02-14,334.24
2024-02-15,354.61
2024-02-16,360.6
2024-02-17,352.95
2024-02-18,349.7
2024-02-19,351.7
2024-02-20,354.6
2024-02-21,379.31
2024-02-22,382.38
2024-02-23,375.56
2024-02-24,381.65
2024-02-25,388.53
2024-02-26,401.86
2024-02-27,394.88
2024-02-28,415.17
2024-02-29,399.56
2024-03-01,407.74
2024-03-02,411.19
2024-03-03,414.77
2024-03-04,419.19
2024-03-05,394.5
2024-03-06,429.49
2024-03-07,475.19
2024-03-08,487.03
2024-03-09,489.12
2024-03-10,529.27
2024-03-11,522.98
2024-03-12,537.37
2024-03-13,630.86
2024-03-14,602.98
2024-03-15,633.05
2024-03-16,575.86
2024-03-17,571.25
2024-03-18,555.34
2024-03-19,507.41
2024-03-20,556.77
2024-03-21,553.68
2024-03-22,554.0
2024-03-23,551.85
2024-03-24,567.78
2024-03-25,587.09
2024-03-26,580.29
2024-03-27,574.01
2024-03-28,583.45
2024-03-29,612.92
2024-03-30,600.98
2024-03-31,606.94
2024-04-01,576.24
2024-04-02,551.36
2024-04-03,561.81
2024-04-04,585.81
2024-04-05,578.31
2024-04-06,585.7
2024-04-07,583.71
2024-04-08,586.29
2024-04-09,580.34
2024-04-10,609.81
2024-04-11,604.68
2024-04-12,595.9
2024-04-13,554.04
2024-04-14,567.1
2024-04-15,552.88
2024-04-16,537.98
2024-04-17,534.09
2024-04-18,552.29
2024-04-19,554.52
2024-04-20,571.3
2024-04-21,579.86
2024-04-22,604.83
2024-04-23,606.17
2024-04-24,608.58
2024-04-25,613.03
2024-04-26,597.73
2024-04-27,595.67
2024-04-28,600.0
2024-04-29,592.7
2024-04-30,578.02
2024-05-01,560.98
2024-05-02,560.47
2024-05-03,587.46
2024-05-04,585.75
2024-05-05,592.15
2024-05-06,588.16
2024-05-07,576.62
2024-05-08,588.24
2024-05-09,596.71
2024-05-10,585.6
2024-05-11,592.05
2024-05-12,594.5
2024-05-13,591.69
2024-05-14,566.8
2024-05-15,581.37
2024-05-16,569.31
2024-05-17,581.2
2024-05-18,580.4
2024-05-19,574.48
2024-05-20,599.73
2024-05-21,618.43
2024-05-22,614.23
2024-05-23,598.63
2024-05-24,600.21
2024-05-25,602.33
2024-05-26,600.03
2024-05-27,603.39
2024-05-28,601.17
2024-05-29,594.95
2024-05-30,594.95
2024-05-31,593.24
2024-06-01,601.3
2024-06-02,602.67
2024-06-03,626.21
2024-06-04,685.8
2024-06-05,698.87
2024-06-06,710.55
2024-06-07,683.67
2024-06-08,682.57
2024-06-09,672.93
2024-06-10,624.92
2024-06-11,602.51
2024-06-12,619.27
2024-06-13,599.35
2024-06-14,602.97
2024-06-15,607.75
2024-06-16,610.35
2024-06-17,604.25
2024-06-18,588.51
2024-06-19,598.98
2024-06-20,587.46
2024-06-21,586.11
2024-06-22,590.91
2024-06-23,577.35
2024-06-24,567.93
2024-06-25,578.17
2024-06-26,572.78
2024-06-27,581.05
2024-06-28,566.38
2024-06-29,569.53
2024-06-30,581.47
2024-07-01,576.25
2024-07-02,579.19
2024-07-03,556.09
2024-07-04,513.37
2024-07-05,497.75
2024-07-06,526.28
2024-07-07,490.68
2024-07-08,510.44
2024-07-09,517.03
2024-07-10,524.55
2024-07-11,524.97
2024-07-12,533.96
2024-07-13,532.55
2024-07-14,544.94
2024-07-15,585.42
2024-07-16,576.55
2024-07-17,568.86
2024-07-18,571.87
2024-07-19,593.84
2024-07-20,593.46
2024-07-21,602.48
2024-07-22,587.5
2024-07-23,582.05
2024-07-24,574.65
2024-07-25,570.7
2024-07-26,581.1
2024-07-27,581.74
2024-07-28,583.9
2024-07-29,574.27
2024-07-30,588.08
2024-07-31,576.2
2024-08-01,574.77
2024-08-02,542.3
2024-08-03,529.43
2024-08-04,496.6
2024-08-05,464.57
2024-08-06,485.07
2024-08-07,474.84
2024-08-08,517.24
2024-08-09,509.05
2024-08-10,523.3
2024-08-11,503.57
2024-08-12,518.28
2024-08-13,524.33
2024-08-14,523.47
2024-08-15,519.18
2024-08-16,519.85
2024-08-17,541.85
2024-08-18,531.66
