date,bnb,sol,ratio
2023-12-02,229.12,63.71,3.5962957149584054
2023-12-03,228.05,63.0,3.61984126984127
2023-12-04,233.43,61.58,3.790678791815525
2023-12-05,231.25,61.01,3.790362235699066
2023-12-06,229.49,61.86,3.7098286453281606
2023-12-07,232.7,67.78,3.4331661257007964
2023-12-08,238.96,74.94,3.18868428075794
2023-12-09,237.77,72.25,3.2909342560553636
2023-12-10,239.85,74.81,3.206122176179655
2023-12-11,246.3,70.24,3.506548974943053
2023-12-12,254.44,68.54,3.712284797198716
2023-12-13,252.14,70.63,3.5698711595639248
2023-12-14,253.32,75.68,3.3472515856236784
2023-12-15,244.88,72.52,3.376723662437948
2023-12-16,244.21,73.67,3.3149178770191394
2023-12-17,238.83,70.77,3.3747350572276393
2023-12-18,241.66,74.41,3.2476817632038704
2023-12-19,252.81,73.02,3.462202136400986
2023-12-20,260.4,82.23,3.1667274717256473
2023-12-21,272.16,93.89,2.898711257854937
2023-12-22,271.31,98.01,2.768186919702071
2023-12-23,271.14,107.95,2.5117183881426586
2023-12-24,264.72,112.54,2.352230318109117
2023-12-25,266.92,120.95,2.206862339809839
2023-12-26,297.79,112.48,2.6474928876244666
2023-12-27,324.41,106.93,3.0338539231272796
2023-12-28,322.78,101.85,3.1691703485517917
2023-12-29,313.78,106.19,2.9548921744043692
2023-12-30,317.11,101.9,3.111972522080471
2023-12-31,311.86,101.73,3.065565713162292
2024-01-01,313.67,110.02,2.851027085984367
2024-01-02,312.41,106.76,2.926283252154365
2024-01-03,315.96,98.59,3.204787503803631
2024-01-04,323.99,105.02,3.0850314225861744
2024-01-05,317.73,100.01,3.176982301769823
2024-01-06,307.57,93.83,3.277949483107748
2024-01-07,302.56,89.49,3.3809364174768133
2024-01-08,303.97,98.01,3.101418222630344
2024-01-09,301.14,99.45,3.028054298642534
2024-01-10,305.81,102.01,2.9978433486913048
2024-01-11,308.34,99.9,3.086486486486486
2024-01-12,296.57,92.06,3.221485987399522
2024-01-13,302.02,95.84,3.151293823038397
2024-01-14,299.23,93.8,3.190085287846482
2024-01-15,317.32,94.32,3.3642917726887194
2024-01-16,315.16,97.59,3.229429244799672
2024-01-17,309.09,102.07,3.02821593024395
2024-01-18,312.71,94.31,3.3157671508853777
2024-01-19,314.48,93.59,3.3601880542793032
2024-01-20,317.12,92.75,3.4190835579514824
2024-01-21,318.59,91.0,3.5009890109890107
2024-01-22,305.6,83.74,3.6493909720563655
2024-01-23,298.59,84.29,3.5424130976391024
2024-01-24,293.01,88.74,3.3018931710615282
2024-01-25,291.97,86.86,3.3613861386138617
2024-01-26,302.04,92.23,3.2748563374173263
2024-01-27,305.69,94.26,3.243051135158073
2024-01-28,305.13,95.97,3.1794310722100656
2024-01-29,310.69,101.67,3.0558670207534178
2024-01-30,307.65,101.4,3.034023668639053
2024-01-31,300.18,96.89,3.0981525441222004
2024-02-01,300.13,97.78,3.069441603599918
2024-02-02,301.24,100.51,2.997114714953736
2024-02-03,299.58,97.9,3.0600612870275787
2024-02-04,304.59,95.42,3.1920980926430516
2024-02-05,300.96,95.5,3.151413612565445
2024-02-06,302.76,96.85,3.1260712441920497
2024-02-07,307.36,101.11,3.039857580852537
2024-02-08,319.22,102.79,3.105555015079288
2024-02-09,324.19,106.96,3.0309461480927453
2024-02-10,323.29,109.07,2.964059778124141
2024-02-11,320.88,107.48,2.985485671752884
2024-02-12,328.03,111.73,2.935916942629553
2024-02-13,324.96,112.57,2.886737141334281
2024-02-14,334.24,117.11,2.854068824182393
2024-02-15,354.61,113.61,3.121292139776428
2024-02-16,360.6,110.4,3.266304347826087
2024-02-17,352.95,108.96,3.239262114537445
2024-02-18,349.7,112.24,3.1156450463292944
2024-02-19,351.7,111.55,3.1528462572837292
2024-02-20,354.6,108.35,3.272727272727273
2024-02-21,379.31,105.06,3.610413097277746
2024-02-22,382.38,101.69,3.7602517455010327
2024-02-23,375.56,99.89,3.7597357092802084
2024-02-24,381.65,104.04,3.6683006535947706
2024-02-25,388.53,103.47,3.755001449695564
2024-02-26,401.86,109.97,3.6542693461853233
2024-02-27,394.88,108.42,3.6421324478878434
2024-02-28,415.17,118.98,3.489409984871407
2024-02-29,399.56,125.7,3.1786793953858394
2024-03-01,407.74,129.52,3.1480852378011117
2024-03-02,411.19,130.15,3.1593545908567036
2024-03-03,414.77,130.25,3.1844145873320535
2024-03-04,419.19,133.36,3.1432963407318533
2024-03-05,394.5,125.58,3.1414237935977067
2024-03-06,429.49,130.89,3.2813049125219655
2024-03-07,475.19,144.07,3.298327202054557
2024-03-08,487.03,145.11,3.3562814416649434
2024-03-09,489.12,144.58,3.3830405311938025
2024-03-10,529.27,144.56,3.661247924737133
2024-03-11,522.98,148.87,3.5129979176462687
2024-03-12,537.37,151.05,3.5575637206223103
2024-03-13,630.86,163.93,3.848349905447447
2024-03-14,602.98,176.64,3.413609601449276
2024-03-15,633.05,183.84,3.443483463881636
2024-03-16,575.86,181.95,3.164935421819181
2024-03-17,571.25,201.69,2.832316922009024
2024-03-18,555.34,195.91,2.8346689806543823
2024-03-19,507.41,169.91,2.9863457124359956
2024-03-20,556.77,191.92,2.9010525218841186
2024-03-21,553.68,179.44,3.0855996433348194
2024-03-22,554.0,175.17,3.1626420049095167
2024-03-23,551.85,172.72,3.195055581287633
2024-03-24,567.78,183.79,3.0892866858915067
2024-03-25,587.09,189.01,3.10613195069044
2024-03-26,580.29,190.47,3.0466215151992437
2024-03-27,574.01,186.23,3.082263867260914
2024-03-28,583.45,189.67,3.0761322296620452
2024-03-29,612.92,192.19,3.1891357510796605
2024-03-30,600.98,194.28,3.09337039324686
2024-03-31,606.94,202.43,2.9982710072617698
2024-04-01,576.24,192.35,2.9957889264361843
2024-04-02,551.36,181.52,3.03746143675628
2024-04-03,561.81,185.14,3.0345144215188506
2024-04-04,585.81,184.09,3.1821934923135418
2024-04-05,578.31,174.46,3.314857273873667
2024-04-06,585.7,178.74,3.2768266756182163
2024-04-07,583.71,179.52,3.251504010695187
2024-04-08,586.29,180.69,3.244728540594388
2024-04-09,580.34,172.32,3.36780408542247
2024-04-10,609.81,173.35,3.5177963657340636
2024-04-11,604.68,172.43,3.5068143594502112
2024-04-12,595.9,153.29,3.8874029617065693
2024-04-13,554.04,138.51,4.0
2024-04-14,567.1,151.45,3.744470122152526
2024-04-15,552.88,138.59,3.9893210188325274
2024-04-16,537.98,136.27,3.947897556322008
2024-04-17,534.09,131.89,4.04951095609978
2024-04-18,552.29,142.1,3.8866291344123853
