replicate_index,lower_5th_pct
34,-4.84542654
36,-4.601555379
39,-4.601555379
93,-4.591952705999999
44,-4.558270721999998
59,-4.460638807
2,-4.40622366
71,-4.384736920499999
67,-4.26297873
92,-4.26297873
31,-4.2507834855
74,-4.2507834855
3,-4.250204487
42,-4.1816771
84,-4.1810981015
10,-4.1810981015
54,-4.17781711
65,-4.164777682
27,-4.09088759
8,-4.087309712000001
66,-4.031192130499999
79,-3.935201572999999
5,-3.9059583694999978
1,-3.82808214
14,-3.82808214
6,-3.8214608955
83,-3.8214608955
57,-3.78394051
23,-3.78155355
60,-3.78155355
20,-3.776059069
0,-3.774030153
12,-3.774030153
68,-3.760751456999999
87,-3.752310346499999
73,-3.718118874
16,-3.718118874
95,-3.718118874
75,-3.718118874
37,-3.718118874
26,-3.714616549499999
97,-3.7096777634999993
82,-3.707146850999999
17,-3.64287293
53,-3.64287293
49,-3.64287293
98,-3.64287293
80,-3.6393706055
96,-3.6393706055
55,-3.6393706055
61,-3.6393706055
33,-3.6195241
51,-3.6195241
29,-3.614585314
77,-3.614285575
43,-3.58659886
90,-3.58659886
76,-3.586299121
70,-3.586299121
48,-3.586299121
15,-3.586299121
18,-3.5846006
45,-3.5840679475
81,-3.5840679475
63,-3.5830659145
86,-3.5823694265
46,-3.5823694265
9,-3.5813673935
22,-3.56972611
11,-3.568724077
35,-3.568724077
56,-3.568724077
25,-3.56171524
7,-3.558292564
88,-3.556037053
21,-3.53135705
4,-3.530126762
78,-3.52315513
41,-3.522129907
62,-3.522129907
30,-3.5201278325
94,-3.51632031
28,-3.5073466034999994
58,-3.5054187734999998
85,-3.4564956
64,-3.4564956
19,-3.45456777
72,-3.45456777
47,-3.45438043
99,-3.4533653485
24,-3.4533653485
69,-3.4532216115
52,-3.4530342715
13,-3.4426283185
91,-3.4426283185
32,-3.436545113
38,-3.436545113
40,-3.43252115
89,-3.367493866
50,-3.18697876
