date,btc,eth,ratio
2023-12-01,38699.84,2088.21,18.532542225159347
2023-12-02,39469.35,2165.6,18.22559567787218
2023-12-03,39980.93,2193.78,18.224676129785117
2023-12-04,41984.41,2243.25,18.71588543408002
2023-12-05,44089.06,2293.88,19.22029923099726
2023-12-06,43771.01,2232.96,19.602236493264545
2023-12-07,43285.02,2356.77,18.366247024529333
2023-12-08,44186.18,2358.94,18.73137086996702
2023-12-09,43723.0,2341.13,18.676023971330082
2023-12-10,43791.67,2352.31,18.61645361368187
2023-12-11,41235.58,2224.1,18.54034440897442
2023-12-12,41472.94,2202.33,18.83139220734404
2023-12-13,42887.55,2260.72,18.9707482571924
2023-12-14,43030.6,2316.03,18.5794657236737
2023-12-15,41939.16,2220.32,18.88879080492902
2023-12-16,42243.26,2227.14,18.96749194033604
2023-12-17,41349.42,2194.84,18.83937781341692
2023-12-18,42650.27,2218.75,19.22265690140845
2023-12-19,42268.08,2177.38,19.412357971507042
2023-12-20,43669.91,2202.03,19.831659877476692
2023-12-21,43875.01,2239.88,19.58810739861064
2023-12-22,44008.04,2326.53,18.915741469054772
2023-12-23,43732.75,2309.54,18.93569715181378
2023-12-24,43023.12,2265.42,18.991233413671637
2023-12-25,43593.79,2271.75,19.18951909321008
2023-12-26,42517.32,2230.94,19.05802935085659
2023-12-27,43469.34,2380.34,18.261819740037136
2023-12-28,42588.94,2345.44,18.158187802715055
2023-12-29,42073.59,2299.64,18.295728896696875
2023-12-30,42146.03,2291.65,18.39112866275391
2023-12-31,42280.14,2281.36,18.53286636041659
2024-01-01,44197.61,2352.65,18.786309055745647
2024-01-02,44970.34,2356.28,19.085312441645303
2024-01-03,42854.08,2210.57,19.38598641979218
2024-01-04,44194.38,2269.47,19.473436529233698
2024-01-05,44178.89,2270.21,19.460265790389435
2024-01-06,43988.33,2241.73,19.622492450027433
2024-01-07,43950.84,2222.73,19.7733597872886
2024-01-08,46988.14,2332.66,20.143587149434552
2024-01-09,46123.0,2344.97,19.66890834424321
2024-01-10,46667.48,2584.69,18.055348997365254
2024-01-11,46353.15,2618.71,17.70075724307006
2024-01-12,42776.42,2522.11,16.96056873015055
2024-01-13,42839.19,2577.89,16.617927840210406
2024-01-14,41704.39,2470.94,16.87794523541648
2024-01-15,42491.26,2510.12,16.92797953882683
2024-01-16,43130.88,2586.91,16.672740837524305
2024-01-17,42739.27,2528.09,16.905754937522
2024-01-18,41286.68,2468.6,16.724734667422833
2024-01-19,41625.47,2490.05,16.716720547780163
2024-01-20,41677.08,2470.31,16.871194303548947
