date,btc,sol,ratio
2023-11-30,37729.58,59.28,636.4639001349528
2023-12-01,38699.84,59.78,647.3710270993643
2023-12-02,39469.35,63.71,619.5157746036729
2023-12-03,39980.93,63.0,634.6179365079365
2023-12-04,41984.41,61.58,681.7864566417669
2023-12-05,44089.06,61.01,722.6530077036551
2023-12-06,43771.01,61.86,707.5817976075009
2023-12-07,43285.02,67.78,638.6105045736205
2023-12-08,44186.18,74.94,589.6207632772886
2023-12-09,43723.0,72.25,605.1626297577855
2023-12-10,43791.67,74.81,585.3718754177248
2023-12-11,41235.58,70.24,587.0669134396356
2023-12-12,41472.94,68.54,605.0910417274584
2023-12-13,42887.55,70.63,607.2143565057341
2023-12-14,43030.6,75.68,568.586152219873
2023-12-15,41939.16,72.52,578.3116381687811
2023-12-16,42243.26,73.67,573.4119723089453
2023-12-17,41349.42,70.77,584.2789317507419
2023-12-18,42650.27,74.41,573.1792769789007
2023-12-19,42268.08,73.02,578.8562037797864
2023-12-20,43669.91,82.23,531.070290648182
2023-12-21,43875.01,93.89,467.3022686122058
2023-12-22,44008.04,98.01,449.0158147127844
2023-12-23,43732.75,107.95,405.12042612320516
2023-12-24,43023.12,112.54,382.291807357384
2023-12-25,43593.79,120.95,360.42819346837535
2023-12-26,42517.32,112.48,377.99893314366994
2023-12-27,43469.34,106.93,406.52146263910964
2023-12-28,42588.94,101.85,418.15355915562105
2023-12-29,42073.59,106.19,396.21047179583763
2023-12-30,42146.03,101.9,413.60186457311084
2023-12-31,42280.14,101.73,415.6113240931878
2024-01-01,44197.61,110.02,401.72341392474095
2024-01-02,44970.34,106.76,421.22836268265263
2024-01-03,42854.08,98.59,434.6696419515164
2024-01-04,44194.38,105.02,420.81870119977145
2024-01-05,44178.89,100.01,441.7447255274472
2024-01-06,43988.33,93.83,468.8088031546414
2024-01-07,43950.84,89.49,491.12571237009723
2024-01-08,46988.14,98.01,479.421895724926
2024-01-09,46123.0,99.45,463.78079436902965
2024-01-10,46667.48,102.01,457.47946279776494
2024-01-11,46353.15,99.9,463.9954954954955
2024-01-12,42776.42,92.06,464.65804909841404
2024-01-13,42839.19,95.84,446.986540066778
2024-01-14,41704.39,93.8,444.60970149253734
2024-01-15,42491.26,94.32,450.5010602205259
2024-01-16,43130.88,97.59,441.96003688902545
