date,eth,bnb,ratio
2023-12-02,2165.6,229.12,9.4518156424581
2023-12-03,2193.78,228.05,9.619732514799386
2023-12-04,2243.25,233.43,9.609947307544017
2023-12-05,2293.88,231.25,9.91948108108108
2023-12-06,2232.96,229.49,9.730097171990066
2023-12-07,2356.77,232.7,10.127932960893855
2023-12-08,2358.94,238.96,9.87169400736525
2023-12-09,2341.13,237.77,9.846195903604324
2023-12-10,2352.31,239.85,9.807421304982281
2023-12-11,2224.1,246.3,9.03004466098254
2023-12-12,2202.33,254.44,8.6555966043075
2023-12-13,2260.72,252.14,8.966129927817878
2023-12-14,2316.03,253.32,9.14270487920417
2023-12-15,2220.32,244.88,9.066971577915714
2023-12-16,2227.14,244.21,9.119773965030097
2023-12-17,2194.84,238.83,9.1899677594942
2023-12-18,2218.75,241.66,9.181287759662336
2023-12-19,2177.38,252.81,8.612713104703136
2023-12-20,2202.03,260.4,8.456336405529955
2023-12-21,2239.88,272.16,8.230011757789535
2023-12-22,2326.53,271.31,8.575172312115294
2023-12-23,2309.54,271.14,8.517887438223797
2023-12-24,2265.42,264.72,8.557796917497733
2023-12-25,2271.75,266.92,8.510977071781808
2023-12-26,2230.94,297.79,7.491655193256993
2023-12-27,2380.34,324.41,7.33744335871274
2023-12-28,2345.44,322.78,7.266373381250388
2023-12-29,2299.64,313.78,7.328829115941105
2023-12-30,2291.65,317.11,7.2266721326984324
2023-12-31,2281.36,311.86,7.315333803629834
2024-01-01,2352.65,313.67,7.5003985079861
2024-01-02,2356.28,312.41,7.542268173233891
2024-01-03,2210.57,315.96,6.9963602987719975
2024-01-04,2269.47,323.99,7.004753233124478
2024-01-05,2270.21,317.73,7.145091744562993
2024-01-06,2241.73,307.57,7.288519686575414
2024-01-07,2222.73,302.56,7.346410629296669
2024-01-08,2332.66,303.97,7.67398098496562
2024-01-09,2344.97,301.14,7.786976157269044
2024-01-10,2584.69,305.81,8.451947287531475
2024-01-11,2618.71,308.34,8.492929882597133
2024-01-12,2522.11,296.57,8.5042654348046
2024-01-13,2577.89,302.02,8.535494338123303
2024-01-14,2470.94,299.23,8.257661330748922
2024-01-15,2510.12,317.32,7.910374385478382
2024-01-16,2586.91,315.16,8.2082434319076
2024-01-17,2528.09,309.09,8.179138762172832
2024-01-18,2468.6,312.71,7.894215087461227
2024-01-19,2490.05,314.48,7.91799160518952
2024-01-20,2470.31,317.12,7.789827194752775
2024-01-21,2455.35,318.59,7.706927398851188
2024-01-22,2311.54,305.6,7.563939790575915
2024-01-23,2241.32,298.59,7.50634649519408
2024-01-24,2234.13,293.01,7.62475683423774
2024-01-25,2217.5,291.97,7.594958386135561
2024-01-26,2267.33,302.04,7.506720964110713
2024-01-27,2267.97,305.69,7.419182832281068
2024-01-28,2256.6,305.13,7.395536328777898
2024-01-29,2317.51,310.69,7.459235894299785
2024-01-30,2343.1,307.65,7.616122216804811
2024-01-31,2281.77,300.18,7.601339196482111
2024-02-01,2303.34,300.13,7.674474394429081
2024-02-02,2307.85,301.24,7.661167175673881
2024-02-03,2295.87,299.58,7.663629080712998
2024-02-04,2288.68,304.59,7.513969598476641
2024-02-05,2299.16,300.96,7.639420520999469
2024-02-06,2372.2,302.76,7.835249042145594
2024-02-07,2424.33,307.36,7.887591098386257
2024-02-08,2419.79,319.22,7.580320781905895
2024-02-09,2487.62,324.19,7.673339708195811
2024-02-10,2500.87,323.29,7.735686225989049
2024-02-11,2507.91,320.88,7.81572550486163
2024-02-12,2660.56,328.03,8.110721580343261
2024-02-13,2641.6,324.96,8.129000492368291
2024-02-14,2777.51,334.24,8.309926998563906
2024-02-15,2825.35,354.61,7.967485406502918
2024-02-16,2804.05,360.6,7.776067665002773
2024-02-17,2787.0,352.95,7.896302592435189
2024-02-18,2881.4,349.7,8.23963397197598
2024-02-19,2945.0,351.7,8.373613875462041
2024-02-20,3015.27,354.6,8.503299492385786
2024-02-21,2968.67,379.31,7.826500751364319
2024-02-22,2969.67,382.38,7.766279617134788
2024-02-23,2922.1,375.56,7.78064756630099
2024-02-24,2992.35,381.65,7.840560723175685
2024-02-25,3112.81,388.53,8.011762283478754
2024-02-26,3178.24,401.86,7.908823968546259
2024-02-27,3243.69,394.88,8.214368922204214
2024-02-28,3386.34,415.17,8.156514199002817
2024-02-29,3342.24,399.56,8.36480128140955
2024-03-01,3435.9,407.74,8.426693481139942
2024-03-02,3423.65,411.19,8.326199567110095
2024-03-03,3489.57,414.77,8.413265183113534
2024-03-04,3631.85,419.19,8.66397099167442
2024-03-05,3557.93,394.5,9.018833967046895
2024-03-06,3821.19,429.49,8.897040676150784
2024-03-07,3874.46,475.19,8.153496496138386
2024-03-08,3891.97,487.03,7.991232572942119
2024-03-09,3913.28,489.12,8.000654236179262
2024-03-10,3881.86,529.27,7.334366202505338
2024-03-11,4065.75,522.98,7.774197866075184
2024-03-12,3979.43,537.37,7.405381766752889
2024-03-13,4007.46,630.86,6.352376121484957
2024-03-14,3880.8,602.98,6.436034362665429
2024-03-15,3742.44,633.05,5.911760524445147
2024-03-16,3520.08,575.86,6.112735734379884
2024-03-17,3641.61,571.25,6.374809628008753
2024-03-18,3520.31,555.34,6.339017538805056
2024-03-19,3158.44,507.41,6.224630969038844
2024-03-20,3516.66,556.77,6.316180828708443
2024-03-21,3492.08,553.68,6.307036555411068
2024-03-22,3337.08,554.0,6.023610108303249
2024-03-23,3330.49,551.85,6.035136359517984
2024-03-24,3454.45,567.78,6.084134700059883
2024-03-25,3590.96,587.09,6.116540905142312
2024-03-26,3587.6,580.29,6.1824260283651284
2024-03-27,3499.77,574.01,6.0970540582916675
2024-03-28,3561.1,583.45,6.103522152712314
2024-03-29,3511.49,612.92,5.729116361025909
2024-03-30,3507.56,600.98,5.836400545775233
2024-03-31,3645.98,606.94,6.007150624443931
2024-04-01,3505.52,576.24,6.083437456615299
2024-04-02,3279.4,551.36,5.947838073128264
2024-04-03,3312.24,561.81,5.895658674640893
2024-04-04,3329.17,585.81,5.683020091838651
2024-04-05,3319.12,578.31,5.739343950476388
2024-04-06,3352.4,585.7,5.723749359740482
2024-04-07,3453.85,583.71,5.917064980898048
2024-04-08,3694.7,586.29,6.301830152313702
2024-04-09,3504.83,580.34,6.0392700830547605
2024-04-10,3545.56,609.81,5.8142044243288895
2024-04-11,3503.21,604.68,5.793494079513131
2024-04-12,3239.12,595.9,5.4356771270347375
2024-04-13,3011.51,554.04,5.435546169951629
2024-04-14,3158.26,567.1,5.569141244930347
2024-04-15,3103.0,552.88,5.612429460280712
2024-04-16,3085.42,537.98,5.735194616900256
2024-04-17,2985.12,534.09,5.589170364545301
2024-04-18,3065.69,552.29,5.550870013941951
2024-04-19,3057.95,554.52,5.514589194258097
2024-04-20,3157.04,571.3,5.5260633642569585
2024-04-21,3148.11,579.86,5.429086331183389
2024-04-22,3201.55,604.83,5.293305556933353
2024-04-23,3219.78,606.17,5.311678242077305
2024-04-24,3139.1,608.58,5.158072890992145
2024-04-25,3155.47,613.03,5.147333735706246
2024-04-26,3130.07,597.73,5.2365951181971795
2024-04-27,3253.23,595.67,5.461463562039385
2024-04-28,3262.43,600.0,5.437383333333333
2024-04-29,3215.73,592.7,5.425560992070187
2024-04-30,3011.46,578.02,5.209958132936577
2024-05-01,2968.82,560.98,5.292202930585761
2024-05-02,2986.41,560.47,5.3284029475261825
2024-05-03,3103.77,587.46,5.283372484935144
2024-05-04,3117.52,585.75,5.322270593256508
2024-05-05,3137.09,592.15,5.297796166511864
2024-05-06,3063.19,588.16,5.208089635473341
2024-05-07,3005.91,576.62,5.212982553501439
2024-05-08,2973.31,588.24,5.054586563307494
2024-05-09,3035.93,596.71,5.087781334316501
2024-05-10,2909.58,585.6,4.968545081967213
2024-05-11,2911.82,592.05,4.918199476395575
2024-05-12,2927.97,594.5,4.925096719932716
2024-05-13,2950.16,591.69,4.985989284929608
2024-05-14,2880.64,566.8,5.082286520818631
2024-05-15,3033.46,581.37,5.217778695151108
2024-05-16,2945.17,569.31,5.173227239992272
2024-05-17,3093.44,581.2,5.322505161734343
2024-05-18,3123.72,580.4,5.382012405237767
2024-05-19,3070.68,574.48,5.345146915471382
2024-05-20,3661.58,599.73,6.105380754672936
2024-05-21,3789.36,618.43,6.127387093122909
2024-05-22,3736.33,614.23,6.08294938378132
2024-05-23,3781.61,598.63,6.317107395219084
2024-05-24,3727.14,600.21,6.2097265956915075
