date,eth_closing_price_usd
2023-12-01,2088.21
2023-12-02,2165.6
2023-12-03,2193.78
2023-12-04,2243.25
2023-12-05,2293.88
2023-12-06,2232.96
2023-12-07,2356.77
2023-12-08,2358.94
2023-12-09,2341.13
2023-12-10,2352.31
2023-12-11,2224.1
2023-12-12,2202.33
2023-12-13,2260.72
2023-12-14,2316.03
2023-12-15,2220.32
2023-12-16,2227.14
2023-12-17,2194.84
2023-12-18,2218.75
2023-12-19,2177.38
2023-12-20,2202.03
2023-12-21,2239.88
2023-12-22,2326.53
2023-12-23,2309.54
2023-12-24,2265.42
2023-12-25,2271.75
2023-12-26,2230.94
2023-12-27,2380.34
2023-12-28,2345.44
2023-12-29,2299.64
2023-12-30,2291.65
2023-12-31,2281.36
2024-01-01,2352.65
2024-01-02,2356.28
2024-01-03,2210.57
2024-01-04,2269.47
2024-01-05,2270.21
2024-01-06,2241.73
2024-01-07,2222.73
2024-01-08,2332.66
2024-01-09,2344.97
2024-01-10,2584.69
2024-01-11,2618.71
2024-01-12,2522.11
2024-01-13,2577.89
2024-01-14,2470.94
2024-01-15,2510.12
2024-01-16,2586.91
2024-01-17,2528.09
2024-01-18,2468.6
2024-01-19,2490.05
2024-01-20,2470.31
2024-01-21,2455.35
2024-01-22,2311.54
2024-01-23,2241.32
2024-01-24,2234.13
2024-01-25,2217.5
2024-01-26,2267.33
2024-01-27,2267.97
2024-01-28,2256.6
2024-01-29,2317.51
2024-01-30,2343.1
2024-01-31,2281.77
2024-02-01,2303.34
2024-02-02,2307.85
2024-02-03,2295.87
2024-02-04,2288.68
2024-02-05,2299.16
2024-02-06,2372.2
2024-02-07,2424.33
2024-02-08,2419.79
2024-02-09,2487.62
2024-02-10,2500.87
2024-02-11,2507.91
2024-02-12,2660.56
2024-02-13,2641.6
2024-02-14,2777.51
2024-02-15,2825.35
2024-02-16,2804.05
2024-02-17,2787
2024-02-18,2881.4
2024-02-19,2945
2024-02-20,3015.27
2024-02-21,2968.67
2024-02-22,2969.67
2024-02-23,2922.1
2024-02-24,2992.35
2024-02-25,3112.81
2024-02-26,3178.24
2024-02-27,3243.69
2024-02-28,3386.34
2024-02-29,3342.24
2024-03-01,3435.9
2024-03-02,3423.65
2024-03-03,3489.57
2024-03-04,3631.85
2024-03-05,3557.93
2024-03-06,3821.19
2024-03-07,3874.46
2024-03-08,3891.97
2024-03-09,3913.28
2024-03-10,3881.86
2024-03-11,4065.75
2024-03-12,3979.43
2024-03-13,4007.46
2024-03-14,3880.8
2024-03-15,3742.44
2024-03-16,3520.08
2024-03-17,3641.61
2024-03-18,3520.31
2024-03-19,3158.44
2024-03-20,3516.66
2024-03-21,3492.08
2024-03-22,3337.08
2024-03-23,3330.49
2024-03-24,3454.45
2024-03-25,3590.96
2024-03-26,3587.6
2024-03-27,3499.77
2024-03-28,3561.1
2024-03-29,3511.49
2024-03-30,3507.56
2024-03-31,3645.98
2024-04-01,3505.52
2024-04-02,3279.4
2024-04-03,3312.24
2024-04-04,3329.17
2024-04-05,3319.12
2024-04-06,3352.4
2024-04-07,3453.85
2024-04-08,3694.7
2024-04-09,3504.83
2024-04-10,3545.56
2024-04-11,3503.21
2024-04-12,3239.12
2024-04-13,3011.51
2024-04-14,3158.26
2024-04-15,3103
2024-04-16,3085.42
2024-04-17,2985.12
2024-04-18,3065.69
2024-04-19,3057.95
2024-04-20,3157.04
2024-04-21,3148.11
2024-04-22,3201.55
2024-04-23,3219.78
2024-04-24,3139.1
2024-04-25,3155.47
2024-04-26,3130.07
2024-04-27,3253.23
2024-04-28,3262.43
2024-04-29,3215.73
2024-04-30,3011.46
2024-05-01,2968.82
2024-05-02,2986.41
2024-05-03,3103.77
2024-05-04,3117.52
2024-05-05,3137.09
2024-05-06,3063.19
2024-05-07,3005.91
2024-05-08,2973.31
2024-05-09,3035.93
2024-05-10,2909.58
2024-05-11,2911.82
2024-05-12,2927.97
2024-05-13,2950.16
2024-05-14,2880.64
2024-05-15,3033.46
2024-05-16,2945.17
2024-05-17,3093.44
2024-05-18,3123.72
2024-05-19,3070.68
2024-05-20,3661.58
2024-05-21,3789.36
2024-05-22,3736.33
2024-05-23,3781.61
2024-05-24,3727.14
2024-05-25,3749.23
2024-05-26,3824.34
2024-05-27,3891.26
2024-05-28,3840.39
2024-05-29,3762.22
2024-05-30,3746.97
2024-05-31,3758.65
2024-06-01,3812.81
2024-06-02,3779.06
2024-06-03,3766.32
2024-06-04,3810.73
2024-06-05,3866.46
2024-06-06,3812.05
2024-06-07,3676.79
2024-06-08,3680.84
2024-06-09,3706
2024-06-10,3665.99
2024-06-11,3497.32
2024-06-12,3559.25
2024-06-13,3467.79
2024-06-14,3479.74
2024-06-15,3566.61
2024-06-16,3622.37
2024-06-17,3510.08
2024-06-18,3482.27
2024-06-19,3558.97
2024-06-20,3510.94
2024-06-21,3517.28
2024-06-22,3494.25
2024-06-23,3418.62
2024-06-24,3350.54
2024-06-25,3393.91
2024-06-26,3369.46
2024-06-27,3445.8
2024-06-28,3373.8
2024-06-29,3373.52
2024-06-30,3432.82
2024-07-01,3438.83
2024-07-02,3416.41
2024-07-03,3292.16
2024-07-04,3058.81
2024-07-05,2982.07
2024-07-06,3067.54
2024-07-07,2931.2
2024-07-08,3018.49
2024-07-09,3066.44
2024-07-10,3100.44
2024-07-11,3099.49
2024-07-12,3134.62
2024-07-13,3176.67
2024-07-14,3246.12
2024-07-15,3485.5
2024-07-16,3446.19
2024-07-17,3387.66
2024-07-18,3425.94
2024-07-19,3506
2024-07-20,3518.85
2024-07-21,3536.46
2024-07-22,3441.05
2024-07-23,3483.07
2024-07-24,3335.15
2024-07-25,3174.48
2024-07-26,3274.89
2024-07-27,3249.36
2024-07-28,3270.15
2024-07-29,3317.94
2024-07-30,3278.41
2024-07-31,3231.84
2024-08-01,3200.67
2024-08-02,2985.72
2024-08-03,2902.09
2024-08-04,2688.08
2024-08-05,2420.39
2024-08-06,2462.39
2024-08-07,2343.5
2024-08-08,2683.62
2024-08-09,2600.21
2024-08-10,2610.64
2024-08-11,2555.67
2024-08-12,2723.07
2024-08-13,2703.6
2024-08-14,2661.98
2024-08-15,2570.39
2024-08-16,2593.7
2024-08-17,2614.92
2024-08-18,2612.58
2024-08-19,2637.47
2024-08-20,2573.25
2024-08-21,2631.39
2024-08-22,2623.57
2024-08-23,2764.81
2024-08-24,2769.86
2024-08-25,2747.52
2024-08-26,2681.15
2024-08-27,2458.29
2024-08-28,2528.73
2024-08-29,2527.97
2024-08-30,2526.02
2024-08-31,2513.01
2024-09-01,2426.06
2024-09-02,2538.22
2024-09-03,2424.4
2024-09-04,2450.36
2024-09-05,2367.89
2024-09-06,2224.52
2024-09-07,2273.45
2024-09-08,2297.39
2024-09-09,2360
2024-09-10,2388.83
2024-09-11,2340.73
2024-09-12,2361.91
2024-09-13,2441.28
2024-09-14,2418.52
2024-09-15,2316.46
2024-09-16,2295.53
2024-09-17,2342.21
2024-09-18,2375.01
2024-09-19,2465.83
2024-09-20,2561.88
2024-09-21,2613.27
2024-09-22,2581.43
2024-09-23,2647.17
2024-09-24,2653.41
2024-09-25,2579.69
2024-09-26,2632.81
2024-09-27,2695.48
2024-09-28,2676.03
2024-09-29,2658.08
2024-09-30,2601.63
2024-10-01,2447.54
2024-10-02,2363.64
2024-10-03,2349.81
2024-10-04,2414.67
2024-10-05,2414.79
2024-10-06,2439.96
2024-10-07,2422.14
2024-10-08,2439.67
2024-10-09,2368.44
2024-10-10,2384.4
2024-10-11,2439.03
2024-10-12,2475.93
2024-10-13,2468.12
2024-10-14,2629.02
2024-10-15,2606.92
2024-10-16,2610.95
2024-10-17,2605.1
2024-10-18,2642.22
2024-10-19,2648.12
2024-10-20,2746.4
2024-10-21,2665.9
2024-10-22,2621.31
2024-10-23,2522.33
2024-10-24,2534.54
2024-10-25,2436.2
2024-10-26,2479.7
2024-10-27,2505.21
2024-10-28,2565.82
2024-10-29,2638.16
2024-10-30,2658.35
2024-10-31,2515.04
2024-11-01,2510.39
2024-11-02,2493.41
2024-11-03,2456.66
2024-11-04,2396.87
2024-11-05,2422.4
2024-11-06,2724.61
2024-11-07,2897.52
2024-11-08,2963.98
2024-11-09,3127.99
2024-11-10,3186.06
2024-11-11,3375.79
2024-11-12,3247.18
2024-11-13,3191.32
2024-11-14,3059.11
2024-11-15,3091.03
2024-11-16,3134.46
2024-11-17,3076.78
2024-11-18,3209.54
2024-11-19,3112.1
2024-11-20,3072.39
2024-11-21,3359.82
2024-11-22,3331.89
2024-11-23,3397.31
2024-11-24,3364.81
2024-11-25,3414.86
2024-11-26,3323.46
2024-11-27,3657.71
2024-11-28,3579.62
2024-11-29,3593.72
2024-11-30,3706.22
2024-12-01,3710.38
2024-12-02,3644.73
2024-12-03,3617.6
2024-12-04,3845.15
2024-12-05,3789.23
2024-12-06,4005.27
2024-12-07,4000.53
2024-12-08,4007.11
2024-12-09,3714.19
2024-12-10,3630.62
2024-12-11,3834.97
2024-12-12,3882.65
2024-12-13,3907.67
2024-12-14,3869.58
2024-12-15,3957.8
2024-12-16,3987.5
2024-12-17,3893.55
2024-12-18,3624.67
2024-12-19,3414.47
2024-12-20,3470.82
2024-12-21,3337.38
2024-12-22,3278.9
2024-12-23,3418.24
2024-12-24,3491.08
2024-12-25,3494.17
2024-12-26,3331.04
2024-12-27,3328.67
2024-12-28,3397.86
2024-12-29,3350.43
2024-12-30,3356.45
2024-12-31,3331.15
2025-01-01,3353.28
2025-01-02,3452.59
2025-01-03,3607.83
2025-01-04,3656.45
2025-01-05,3635.29
2025-01-06,3688.83
2025-01-07,3380.43
2025-01-08,3326.54
2025-01-09,3219.05
2025-01-10,3266.41
2025-01-11,3281.96
2025-01-12,3266.23
2025-01-13,3136.46
2025-01-14,3224.35
2025-01-15,3451.52
2025-01-16,3307.52
2025-01-17,3475.27
2025-01-18,3304.42
2025-01-19,3210.82
2025-01-20,3280.4
2025-01-21,3327.64
2025-01-22,3241.51
2025-01-23,3338.7
2025-01-24,3309.74
2025-01-25,3318.45
2025-01-26,3231.79
2025-01-27,3181.65
2025-01-28,3075.83
2025-01-29,3114.1
2025-01-30,3247.4
2025-01-31,3300.04
2025-02-01,3116.61
2025-02-02,2869.16
2025-02-03,2883.08
2025-02-04,2732.09
2025-02-05,2788.52
2025-02-06,2686.96
2025-02-07,2622.67
2025-02-08,2632.76
2025-02-09,2627.84
2025-02-10,2661.94
2025-02-11,2602.22
2025-02-12,2738.57
2025-02-13,2676.25
2025-02-14,2726.02
2025-02-15,2693.56
