date,eth,sol,ratio
2023-11-28,2049.1,58.21,35.20185535131421
2023-11-29,2029.17,59.29,34.224489795918366
2023-11-30,2052.93,59.28,34.631072874493924
2023-12-01,2088.21,59.78,34.9315824690532
2023-12-02,2165.6,63.71,33.99152409354889
2023-12-03,2193.78,63.0,34.82190476190477
2023-12-04,2243.25,61.58,36.42822344917181
2023-12-05,2293.88,61.01,37.598426487461076
2023-12-06,2232.96,61.86,36.09699321047527
2023-12-07,2356.77,67.78,34.77087636470935
2023-12-08,2358.94,74.94,31.477715505737926
2023-12-09,2341.13,72.25,32.40318339100346
2023-12-10,2352.31,74.81,31.4437909370405
2023-12-11,2224.1,70.24,31.664293849658314
2023-12-12,2202.33,68.54,32.132039684855556
2023-12-13,2260.72,70.63,32.007928642220016
2023-12-14,2316.03,75.68,30.602933403805498
2023-12-15,2220.32,72.52,30.616657473800334
2023-12-16,2227.14,73.67,30.231301751051987
2023-12-17,2194.84,70.77,31.013706372756822
2023-12-18,2218.75,74.41,29.817900819782288
2023-12-19,2177.38,73.02,29.818953711311973
2023-12-20,2202.03,82.23,26.778912805545424
2023-12-21,2239.88,93.89,23.856427734583022
2023-12-22,2326.53,98.01,23.73767982858892
2023-12-23,2309.54,107.95,21.39453450671607
2023-12-24,2265.42,112.54,20.129909365558913
2023-12-25,2271.75,120.95,18.782554774700287
2023-12-26,2230.94,112.48,19.834103840682786
2023-12-27,2380.34,106.93,22.26073131955485
2023-12-28,2345.44,101.85,23.028375061364756
2023-12-29,2299.64,106.19,21.655899802241265
2023-12-30,2291.65,101.9,22.4892051030422
2023-12-31,2281.36,101.73,22.42563648874472
2024-01-01,2352.65,110.02,21.383839301945102
2024-01-02,2356.28,106.76,22.070813038591233
2024-01-03,2210.57,98.59,22.421848057612333
2024-01-04,2269.47,105.02,21.609883831651114
2024-01-05,2270.21,100.01,22.6998300169983
2024-01-06,2241.73,93.83,23.891399339230524
2024-01-07,2222.73,89.49,24.83774723432786
2024-01-08,2332.66,98.01,23.80022446689113
2024-01-09,2344.97,99.45,23.579386626445448
2024-01-10,2584.69,102.01,25.337613959415744
2024-01-11,2618.71,99.9,26.21331331331331
2024-01-12,2522.11,92.06,27.396371931349123
2024-01-13,2577.89,95.84,26.897850584307175
2024-01-14,2470.94,93.8,26.34264392324094
2024-01-15,2510.12,94.32,26.612807463952503
2024-01-16,2586.91,97.59,26.507941387437235
2024-01-17,2528.09,102.07,24.76819829528755
2024-01-18,2468.6,94.31,26.175379069027674
2024-01-19,2490.05,93.59,26.60594080564163
2024-01-20,2470.31,92.75,26.634070080862532
2024-01-21,2455.35,91.0,26.98186813186813
2024-01-22,2311.54,83.74,27.60377358490566
2024-01-23,2241.32,84.29,26.59058013999288
2024-01-24,2234.13,88.74,25.17613252197431
2024-01-25,2217.5,86.86,25.52958784250518
2024-01-26,2267.33,92.23,24.58343272254147
2024-01-27,2267.97,94.26,24.060789306174406
2024-01-28,2256.6,95.97,23.513597999374802
2024-01-29,2317.51,101.67,22.794432969410842
2024-01-30,2343.1,101.4,23.10749506903353
2024-01-31,2281.77,96.89,23.550108370316853
2024-02-01,2303.34,97.78,23.55635099202291
2024-02-02,2307.85,100.51,22.961396875932742
2024-02-03,2295.87,97.9,23.4511746680286
2024-02-04,2288.68,95.42,23.98532802347516
2024-02-05,2299.16,95.5,24.074973821989527
2024-02-06,2372.2,96.85,24.493546721734642
2024-02-07,2424.33,101.11,23.97715359509445
2024-02-08,2419.79,102.79,23.541103220157602
2024-02-09,2487.62,106.96,23.2574794315632
2024-02-10,2500.87,109.07,22.929036398643074
2024-02-11,2507.91,107.48,23.333736509117973
2024-02-12,2660.56,111.73,23.812404904680925
2024-02-13,2641.6,112.57,23.466287643244204
2024-02-14,2777.51,117.11,23.71710357783281
2024-02-15,2825.35,113.61,24.86884957310096
2024-02-16,2804.05,110.4,25.399003623188406
2024-02-17,2787.0,108.96,25.57819383259912
2024-02-18,2881.4,112.24,25.67177476835353
2024-02-19,2945.0,111.55,26.4007171671896
2024-02-20,3015.27,108.35,27.82898015689894
2024-02-21,2968.67,105.06,28.256900818579858
2024-02-22,2969.67,101.69,29.203166486380177
2024-02-23,2922.1,99.89,29.253178496345978
2024-02-24,2992.35,104.04,28.761534025374853
2024-02-25,3112.81,103.47,30.08417898907896
2024-02-26,3178.24,109.97,28.900972992634355
2024-02-27,3243.69,108.42,29.91781959048146
2024-02-28,3386.34,118.98,28.46142208774584
2024-02-29,3342.24,125.7,26.5890214797136
2024-03-01,3435.9,129.52,26.52794935145151
2024-03-02,3423.65,130.15,26.30541682673838
2024-03-03,3489.57,130.25,26.79132437619962
2024-03-04,3631.85,133.36,27.23342831433713
2024-03-05,3557.93,125.58,28.33197961458831
2024-03-06,3821.19,130.89,29.193903277561315
2024-03-07,3874.46,144.07,26.89289928506976
2024-03-08,3891.97,145.11,26.82082558059403
2024-03-09,3913.28,144.58,27.06653755706183
2024-03-10,3881.86,144.56,26.852933038184837
2024-03-11,4065.75,148.87,27.310740914892186
2024-03-12,3979.43,151.05,26.345117510758023
2024-03-13,4007.46,163.93,24.446166046483253
2024-03-14,3880.8,176.64,21.970108695652176
2024-03-15,3742.44,183.84,20.35704960835509
2024-03-16,3520.08,181.95,19.34641384995878
2024-03-17,3641.61,201.69,18.05548118399524
2024-03-18,3520.31,195.91,17.96901638507478
2024-03-19,3158.44,169.91,18.58890000588547
2024-03-20,3516.66,191.92,18.32357232180075
2024-03-21,3492.08,179.44,19.46098974587606
2024-03-22,3337.08,175.17,19.05052234971742
2024-03-23,3330.49,172.72,19.282596109309864
2024-03-24,3454.45,183.79,18.79563632406551
2024-03-25,3590.96,189.01,18.99878313316756
2024-03-26,3587.6,190.47,18.83551215414501
2024-03-27,3499.77,186.23,18.792729420608925
2024-03-28,3561.1,189.67,18.775241208414617
2024-03-29,3511.49,192.19,18.270929809043132
2024-03-30,3507.56,194.28,18.054148651430925
2024-03-31,3645.98,202.43,18.011065553524674
2024-04-01,3505.52,192.35,18.22469456719522
2024-04-02,3279.4,181.52,18.066328779197885
2024-04-03,3312.24,185.14,17.890461272550503
2024-04-04,3329.17,184.09,18.084469552936064
2024-04-05,3319.12,174.46,19.025106041499484
2024-04-06,3352.4,178.74,18.755734586550297
2024-04-07,3453.85,179.52,19.239360516934045
2024-04-08,3694.7,180.69,20.447728153190546
2024-04-09,3504.83,172.32,20.339078458681524
2024-04-10,3545.56,173.35,20.453187193539083
2024-04-11,3503.21,172.43,20.316708229426432
2024-04-12,3239.12,153.29,21.130667362515492
2024-04-13,3011.51,138.51,21.742184679806517
2024-04-14,3158.26,151.45,20.85348299768901
2024-04-15,3103.0,138.59,22.389782812612744
2024-04-16,3085.42,136.27,22.641960813091654
2024-04-17,2985.12,131.89,22.633406626734402
2024-04-18,3065.69,142.1,21.57417311752287
2024-04-19,3057.95,142.53,21.4547814495194
2024-04-20,3157.04,151.28,20.86885245901639
2024-04-21,3148.11,148.78,21.15949724425326
2024-04-22,3201.55,157.03,20.38814239317328
2024-04-23,3219.78,154.68,20.815748642358418
2024-04-24,3139.1,147.72,21.250338478202004
2024-04-25,3155.47,144.85,21.784397652744218
2024-04-26,3130.07,139.16,22.492598447829838
2024-04-27,3253.23,141.23,23.03497840402181
2024-04-28,3262.43,137.97,23.64593752264985
2024-04-29,3215.73,137.74,23.346377232466967
2024-04-30,3011.46,126.68,23.772181875592043
2024-05-01,2968.82,134.49,22.074652390512306
2024-05-02,2986.41,137.62,21.700406917599185
2024-05-03,3103.77,143.73,21.594447923189314
2024-05-04,3117.52,146.05,21.345566586785345
2024-05-05,3137.09,145.73,21.52672750977836
2024-05-06,3063.19,152.82,20.044431357152206
2024-05-07,3005.91,148.03,20.306086604066742
2024-05-08,2973.31,142.15,20.916707703130495
2024-05-09,3035.93,152.57,19.898603919512354
2024-05-10,2909.58,146.03,19.924536054235432
2024-05-11,2911.82,145.37,20.030405173006812
2024-05-12,2927.97,143.39,20.419624799497875
2024-05-13,2950.16,147.47,20.00515359056079
2024-05-14,2880.64,141.97,20.290483905050362
2024-05-15,3033.46,158.57,19.130100271173614
2024-05-16,2945.17,159.34,18.483557173340028
2024-05-17,3093.44,169.5,18.25038348082596
2024-05-18,3123.72,172.47,18.11167159506001
2024-05-19,3070.68,169.94,18.06920089443333
2024-05-20,3661.58,186.75,19.606854082998662
2024-05-21,3789.36,178.15,21.270614650575357
2024-05-22,3736.33,176.86,21.125918805835123
2024-05-23,3781.61,176.09,21.4754386961213
2024-05-24,3727.14,167.7,22.225044722719144
2024-05-25,3749.23,168.33,22.273094516723102
2024-05-26,3824.34,163.26,23.424843807423745
2024-05-27,3891.26,170.01,22.88841832833363
2024-05-28,3840.39,168.53,22.78757491247849
2024-05-29,3762.22,168.11,22.379513413836175
2024-05-30,3746.97,166.86,22.455771305285865
2024-05-31,3758.65,165.52,22.70813194780087
2024-06-01,3812.81,165.99,22.9701186818483
2024-06-02,3779.06,163.04,23.178729146221787
2024-06-03,3766.32,164.89,22.841409424464796
2024-06-04,3810.73,171.81,22.1799080379489
2024-06-05,3866.46,173.57,22.276084576827795
2024-06-06,3812.05,170.07,22.414593990709708
2024-06-07,3676.79,162.48,22.629185130477598
2024-06-08,3680.84,157.79,23.327460548830725
2024-06-09,3706.0,162.1,22.862430598396053
2024-06-10,3665.99,158.98,23.05944143917474
2024-06-11,3497.32,149.36,23.41537225495447
2024-06-12,3559.25,155.17,22.93774569826642
2024-06-13,3467.79,147.24,23.551955990220048
2024-06-14,3479.74,143.01,24.332144605272358
2024-06-15,3566.61,145.45,24.521210037813685
2024-06-16,3622.37,151.2,23.957473544973546
2024-06-17,3510.08,143.23,24.50659777979474
2024-06-18,3482.27,137.37,25.34956686321613
2024-06-19,3558.97,135.62,26.24222091137
2024-06-20,3510.94,133.48,26.303116571771053
2024-06-21,3517.28,134.55,26.141062801932367
2024-06-22,3494.25,133.66,26.142825078557536
2024-06-23,3418.62,128.59,26.585426549498404
2024-06-24,3350.54,132.26,25.332980492968396
2024-06-25,3393.91,136.54,24.856525560275376
2024-06-26,3369.46,136.71,24.646770536171456
2024-06-27,3445.8,149.49,23.05037126229179
2024-06-28,3373.8,139.73,24.145137050025053
2024-06-29,3373.52,139.97,24.101736086304207
2024-06-30,3432.82,146.4,23.448224043715847
2024-07-01,3438.83,146.52,23.47003822003822
2024-07-02,3416.41,153.79,22.214773392288187
2024-07-03,3292.16,140.69,23.400099509560025
2024-07-04,3058.81,127.81,23.93247789687818
2024-07-05,2982.07,134.33,22.199583116206355
2024-07-06,3067.54,143.07,21.440833158593698
2024-07-07,2931.2,131.59,22.275248879094153
2024-07-08,3018.49,139.78,21.594577192731432
2024-07-09,3066.44,141.42,21.68321312402772
2024-07-10,3100.44,142.01,21.832547003732135
2024-07-11,3099.49,135.71,22.839068602166382
2024-07-12,3134.62,139.55,22.462343246148333
2024-07-13,3176.67,141.95,22.37879535047552
2024-07-14,3246.12,147.72,21.974817221770916
2024-07-15,3485.5,159.54,21.84718565876896
2024-07-16,3446.19,160.65,21.451540616246497
2024-07-17,3387.66,155.5,21.785594855305465
2024-07-18,3425.94,159.2,21.519723618090453
2024-07-19,3506.0,169.2,20.721040189125297
2024-07-20,3518.85,173.68,20.26053661906955
2024-07-21,3536.46,184.5,19.16780487804878
2024-07-22,3441.05,178.98,19.22589116102358
2024-07-23,3483.07,172.93,20.141502341988087
2024-07-24,3335.15,178.03,18.733640397685782
2024-07-25,3174.48,171.83,18.47453878833731
2024-07-26,3274.89,183.08,17.887753987327944
2024-07-27,3249.36,183.77,17.681667301518203
2024-07-28,3270.15,184.91,17.685090043805094
2024-07-29,3317.94,182.52,18.178500986193292
2024-07-30,3278.41,179.1,18.304913456169736
2024-07-31,3231.84,171.64,18.829177347937545
2024-08-01,3200.67,167.26,19.135896209494202
2024-08-02,2985.72,152.58,19.56822650412898
2024-08-03,2902.09,142.46,20.37126210866208
2024-08-04,2688.08,138.24,19.445023148148145
2024-08-05,2420.39,129.81,18.645635929435326
2024-08-06,2462.39,144.51,17.03958203584527
2024-08-07,2343.5,144.71,16.1944578812798
2024-08-08,2683.62,163.18,16.445765412427992
2024-08-09,2600.21,156.32,16.633892016376663
2024-08-10,2610.64,154.05,16.946705615060043
2024-08-11,2555.67,141.57,18.052341597796143
2024-08-12,2723.07,146.37,18.604017216642756
2024-08-13,2703.6,146.71,18.428191670642764
2024-08-14,2661.98,143.79,18.512970303915434
2024-08-15,2570.39,142.57,18.02896822613453
2024-08-16,2593.7,139.1,18.64629762760604
2024-08-17,2614.92,141.94,18.422713822742004
2024-08-18,2612.58,142.45,18.34032994032994
2024-08-19,2637.47,144.34,18.27262020230012
2024-08-20,2573.25,142.3,18.083274771609275
2024-08-21,2631.39,142.8,18.42710084033613
2024-08-22,2623.57,143.25,18.314624781849915
2024-08-23,2764.81,153.36,18.028234220135626
2024-08-24,2769.86,160.72,17.23407167745147
2024-08-25,2747.52,158.99,17.281086860808855
2024-08-26,2681.15,157.15,17.06108813235762
2024-08-27,2458.29,146.85,16.74014300306435
2024-08-28,2528.73,143.93,17.569165566594872
2024-08-29,2527.97,140.05,18.05048197072474
2024-08-30,2526.02,138.0,18.304492753623187
2024-08-31,2513.01,135.34,18.568124722920054
2024-09-01,2426.06,128.53,18.875437641017662
2024-09-02,2538.22,134.96,18.807202133965617
2024-09-03,2424.4,127.52,19.011919698870766
2024-09-04,2450.36,133.61,18.33964523613502
2024-09-05,2367.89,129.39,18.300409614344233
2024-09-06,2224.52,125.02,17.793313069908816
2024-09-07,2273.45,127.7,17.803054032889584
2024-09-08,2297.39,130.1,17.658647194465797
2024-09-09,2360.0,135.08,17.471128220313886
2024-09-10,2388.83,135.63,17.61284376612844
2024-09-11,2340.73,132.43,17.67522464698331
2024-09-12,2361.91,136.07,17.35805100316014
2024-09-13,2441.28,139.14,17.545493747304874
2024-09-14,2418.52,137.17,17.631552088649123
2024-09-15,2316.46,131.42,17.62638867752245
2024-09-16,2295.53,131.45,17.463141879041462
2024-09-17,2342.21,131.56,17.803359683794465
2024-09-18,2375.01,134.34,17.679097811523004
2024-09-19,2465.83,142.9,17.255633310006996
2024-09-20,2561.88,146.66,17.468157643529253
2024-09-21,2613.27,149.46,17.484745082296264
2024-09-22,2581.43,144.68,17.842341719657174
2024-09-23,2647.17,144.77,18.28534917455274
2024-09-24,2653.41,152.72,17.374345206914615
2024-09-25,2579.69,147.97,17.433871730756234
2024-09-26,2632.81,155.58,16.922547885332303
2024-09-27,2695.48,157.64,17.098959654909923
2024-09-28,2676.03,156.78,17.068694986605436
2024-09-29,2658.08,158.52,16.76810497098158
2024-09-30,2601.63,152.55,17.054277286135694
2024-10-01,2447.54,145.15,16.862142611091972
2024-10-02,2363.64,140.17,16.862666761789256
2024-10-03,2349.81,136.79,17.178229402734118
2024-10-04,2414.67,143.19,16.863398282002933
2024-10-05,2414.79,142.64,16.92926247896803
2024-10-06,2439.96,146.48,16.657291097760787
2024-10-07,2422.14,143.95,16.82625911774922
2024-10-08,2439.67,143.42,17.010667968205272
2024-10-09,2368.44,139.22,17.012210889240052
2024-10-10,2384.4,138.93,17.16259987043835
2024-10-11,2439.03,145.47,16.76654980408332
2024-10-12,2475.93,146.36,16.91671221645258
2024-10-13,2468.12,147.68,16.712621885157095
2024-10-14,2629.02,157.52,16.690071102082275
2024-10-15,2606.92,154.74,16.8470983585369
2024-10-16,2610.95,154.22,16.93003501491376
2024-10-17,2605.1,150.43,17.31768929069999
2024-10-18,2642.22,154.92,17.055383423702555
2024-10-19,2648.12,159.68,16.58391783567134
2024-10-20,2746.4,167.36,16.410133843212236
2024-10-21,2665.9,166.14,16.04610569399302
2024-10-22,2621.31,167.44,15.65521978021978
2024-10-23,2522.33,170.67,14.778988691627116
2024-10-24,2534.54,177.07,14.313774213587847
2024-10-25,2436.2,164.65,14.796234436683873
2024-10-26,2479.7,170.67,14.529208413898166
2024-10-27,2505.21,176.47,14.19623732079107
2024-10-28,2565.82,178.15,14.40258209374123
2024-10-29,2638.16,179.38,14.707102241052514
2024-10-30,2658.35,174.85,15.203603088361453
2024-10-31,2515.04,168.45,14.930483823092906
2024-11-01,2510.39,166.05,15.118277627220715
2024-11-02,2493.41,166.1,15.01149909692956
2024-11-03,2456.66,162.44,15.123491750800294
2024-11-04,2396.87,157.87,15.182555266991828
2024-11-05,2422.4,166.65,14.535853585358536
2024-11-06,2724.61,186.78,14.587268444158903
2024-11-07,2897.52,196.44,14.750152718387294
2024-11-08,2963.98,199.98,14.821382138213822
2024-11-09,3127.99,200.02,15.63838616138386
2024-11-10,3186.06,210.23,15.155115825524426
2024-11-11,3375.79,222.42,15.177546983184966
2024-11-12,3247.18,211.86,15.327008401774755
2024-11-13,3191.32,215.45,14.812346252030634
2024-11-14,3059.11,209.54,14.599169609621075
2024-11-15,3091.03,218.51,14.145942977438105
2024-11-16,3134.46,215.77,14.526857301756499
2024-11-17,3076.78,237.54,12.952681653616235
2024-11-18,3209.54,239.94,13.376427440193382
2024-11-19,3112.1,237.96,13.078248445116825
2024-11-20,3072.39,235.65,13.037937619350732
2024-11-21,3359.82,256.72,13.087488314116547
2024-11-22,3331.89,257.21,12.95396757513316
2024-11-23,3397.31,255.15,13.314951989026063
2024-11-24,3364.81,252.98,13.300695707170528
2024-11-25,3414.86,234.15,14.584070040572282
2024-11-26,3323.46,230.62,14.410979099817881
